"type","format","version","dataName","data__|__version","data__|__id","data__|__key","data__|__name","data__|__title","data__|__blurb","data__|__info__attack","data__|__info__defense","data__|__info__magic","data__|__info__difficulty","data__|__image__full","data__|__image__sprite","data__|__image__group","data__|__image__x","data__|__image__y","data__|__image__w","data__|__image__h","data__|__tags__001","data__|__tags__002","data__|__partype","data__|__stats__hp","data__|__stats__hpperlevel","data__|__stats__mp","data__|__stats__mpperlevel","data__|__stats__movespeed","data__|__stats__armor","data__|__stats__armorperlevel","data__|__stats__spellblock","data__|__stats__spellblockperlevel","data__|__stats__attackrange","data__|__stats__hpregen","data__|__stats__hpregenperlevel","data__|__stats__mpregen","data__|__stats__mpregenperlevel","data__|__stats__crit","data__|__stats__critperlevel","data__|__stats__attackdamage","data__|__stats__attackdamageperlevel","data__|__stats__attackspeedperlevel","data__|__stats__attackspeed"
"champion","standAloneComplex","11.7.1","Aatrox","11.7.1","Aatrox","266","Aatrox","the Darkin Blade","Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...","8","4","3","4","Aatrox.png","champion0.png","champion","0","0","48","48","Fighter","Tank","Blood Well","580","90","0","0","345","38","3.25","32","1.25","175","3","1","0","0","0","0","60","5","2.5","0.651"
"","","","Ahri","11.7.1","Ahri","103","Ahri","the Nine-Tailed Fox","Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...","3","4","8","5","Ahri.png","champion0.png","champion","48","0","48","48","Mage","Assassin","Mana","526","92","418","25","330","21","3.5","30","0.5","550","5.5","0.6","8","0.8","0","0","53","3","2","0.668"
"","","","Akali","11.7.1","Akali","84","Akali","the Rogue Assassin","Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...","5","3","8","7","Akali.png","champion0.png","champion","96","0","48","48","Assassin","","Energy","500","105","200","0","345","23","3.5","37","1.25","125","8","0.5","50","0","0","0","62","3.3","3.2","0.625"
"","","","Alistar","11.7.1","Alistar","12","Alistar","the Minotaur","Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...","6","9","5","7","Alistar.png","champion0.png","champion","144","0","48","48","Tank","Support","Mana","600","106","350","40","330","44","3.5","32","1.25","125","8.5","0.85","8.5","0.8","0","0","62","3.75","2.125","0.625"
"","","","Amumu","11.7.1","Amumu","32","Amumu","the Sad Mummy","Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...","2","6","8","3","Amumu.png","champion0.png","champion","192","0","48","48","Tank","Mage","Mana","615","80","285","40","335","30","3.8","32","1.25","125","9","0.85","7.38","0.53","0","0","53","3.8","2.18","0.736"
"","","","Anivia","11.7.1","Anivia","34","Anivia","the Cryophoenix","Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...","1","4","10","10","Anivia.png","champion0.png","champion","240","0","48","48","Mage","Support","Mana","480","82","495","45","325","21","4","30","0.5","600","5.5","0.55","8","0.8","0","0","51","3.2","1.68","0.625"
"","","","Annie","11.7.1","Annie","1","Annie","the Dark Child","Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...","2","3","10","6","Annie.png","champion0.png","champion","288","0","48","48","Mage","","Mana","524","88","418","25","335","19","4","30","0.5","625","5.5","0.55","8","0.8","0","0","50","2.63","1.36","0.579"
"","","","Aphelios","11.7.1","Aphelios","523","Aphelios","the Weapon of the Faithful","Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silenceâ€”speaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by...","6","2","1","10","Aphelios.png","champion0.png","champion","336","0","48","48","Marksman","","Mana","530","88","348","42","325","28","3","26","0.5","550","3.25","0.55","6.5","0.4","0","0","57","2.4","2.1","0.64"
"","","","Ashe","11.7.1","Ashe","22","Ashe","the Frost Archer","Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...","7","3","2","4","Ashe.png","champion0.png","champion","384","0","48","48","Marksman","Support","Mana","570","87","280","32","325","26","3.4","30","0.5","600","3.5","0.55","6.97","0.4","0","0","59","2.96","3.33","0.658"
"","","","AurelionSol","11.7.1","AurelionSol","136","Aurelion Sol","The Star Forger","Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...","2","3","8","7","AurelionSol.png","champion0.png","champion","432","0","48","48","Mage","","Mana","575","92","350","50","325","19","3.6","30","0.5","550","7","0.6","6","0.8","0","0","57","3.2","1.36","0.625"
